authors,title,refinfo,date,reflink,reftype
"P. Lessner, B. Melody, J. Kinard, J. Schott, ",Capacitor,US7667954B2,2010-02-23,https://patents.google.com/patent/US7667954B2/en?oq=US7667954,Patent
"G. Dunn, J. Savic, P. Lessner, A. Harrington",Method for forming a capacitor having a copper electrode and a high surface area aluminum inner layer,US7605048B2,2009-10-20,https://patents.google.com/patent/US7605048B2/en?oq=US7605048,Patent
"A. Chacko, Q. Chen, R. Hahn, J. Kinard, P. Lessner, B. Melody, ",Electrode compositions containing carbon nanotubes for solid electrolyte capacitors,US7348194B2,2008-03-25,https://patents.google.com/patent/US7348194B2/en?oq=US7348194,Patent
"K. Brenneman, K. Moore, P. Lessner, ",Method of electrolytic deposition of an intrinsically conductive polymer upon a non-conductive substrate,US7221554B2,2007-05-22,https://patents.google.com/patent/US7221554B2/en?oq=US7221554,Patent
"B. Melody, J. Kinard, D. Persico, C. Stolarski, P. Lessner, Q. Chen, K. Pritchard, A. Harrington, D. Wheeler, ",Protecting resin-encapsulated components,US7125429B2,2006-10-24,https://patents.google.com/patent/US7125429B2/en?oq=US7125429,Patent
"B. Melody, J. Kinard, D. Wheeler, P. Lessner, ",Capacitor prepared from a non-aqueous electrolyte,US6896782B2,2005-05-24,https://patents.google.com/patent/US6896782B2/en?oq=US6896782,Patent
"B. Melody, J. Kinard, D. Persico, C. Stolarski, P. Lessner, Q. Chen, K. Pritchard, A. Harrington, D. Wheeler, ",Protecting resin-encapsulated components,US6845004B2,2005-01-18,https://patents.google.com/patent/US6845004B2/en?oq=US6845004,Patent
"P. Lessner, B. Melody, J. Kinard, E. Reed, A. Harrington, D. Persico, D. Wheeler, ",Surface mount aluminum capacitor having anode foil anodized in an aqueous phosphate solution,US6808615B2,2004-10-26,https://patents.google.com/patent/US6808615B2/en?oq=US6808615,Patent
"B. Melody, J. Kinard, D. Persico, C. Stolarski, P. Lessner, Q. Chen, K. Pritchard, A. Harrington, D. Wheeler, ",Protecting resin-encapsulated components,US6798645B2,2004-09-28,https://patents.google.com/patent/US6798645B2/en?oq=US6798645,Patent
"J. Piller, P. Lessner, R. Hahn, C. Eppes, K. Pritchard, ",ESR of solid electrolytic capacitors using conductive polymer cathodes,US6798644B1,2004-09-28,https://patents.google.com/patent/US6798644B1/en?oq=US6798644,Patent
"B. Melody, J. Kinard, D. Wheeler, P. Lessner, ",Non-aqueous electrolytes and method for anodizing,US6755959B2,2004-06-29,https://patents.google.com/patent/US6755959B2/en?oq=US6755959,Patent
"P. Lessner, A.Harrington, B. Melody, J. Kinard, ",Edge formation process for aluminum solid electrolytic capacitor,US6744621B2,2004-06-01,https://patents.google.com/patent/US6744621B2/en?oq=US6744621,Patent
"D. Persico, P. Lessner, A. Harrington, L. Sayetta, ",Edge formation process for aluminum solid electrolytic capacitor,US6707663B2,2004-03-16,https://patents.google.com/patent/US6707663B2/en?oq=US6707663,Patent
"P. Lessner, P. Fernstrom, B. Melody, J. Kinard, ",Method of applying masking material,US6605314B2,2003-08-12,https://patents.google.com/patent/US6605314B2/en?oq=US6605314,Patent
"D. Persico, P. Lessner, A. Harrington, L. Sayetta, ",Edge formation process for aluminum solid electrolytic capacitor,US6562652B2,2003-05-13,https://patents.google.com/patent/US6562652B2/en?oq=US6562652,Patent
"P. Lessner,  A. Harrington, B. Melody, J. Kinard, ",Edge formation process without anodizing for aluminum solid electrolytic capacitor,US6548324B2,2003-04-15,https://patents.google.com/patent/US6548324B2/en?oq=US6548324,Patent
"J. Kinard, B. Melody, P. Lessner, A. Harrington, D. Wheeler, E. Reed, D. Stenziner, ","Method of anodizing aluminum capacitor foil for use in low voltage, surface mount capacitors",US6540900B1,2003-04-01,https://patents.google.com/patent/US6540900B1/en?oq=US6540900,Patent
"A. Harrington, B. Melody, J. Kinard, P. Lessner, D. Wheeler, ",Method of aqueous anodizing aluminum substrates of solid capacitors,US6475368B2,2002-11-05,https://patents.google.com/patent/US6475368B2/en?oq=US6475368,Patent
"P. Lessner, B. Melody, J. Kinard, E. Reed, A. Harrington, D. Persico, D. Wheeler, ",Surface mount aluminum capacitor having anode foil anodized in an aqueous phosphate solution,US6459565B1,2002-10-01,https://patents.google.com/patent/US6459565B1/en?oq=US6459565,Patent
"B. Melody, J. Kinard, D. Wheeler, P. Lessner, ",Non-aqueous electrolytes for anodizing,US6436268B1,2002-08-20,https://patents.google.com/patent/US6436268B1/en?oq=US6436268,Patent
"B. Melody, J. Kinard, A. Harrington, D. Wheeler, ",Method of and electrolyte for anodizing aluminum substrates for solid capacitors,US6409905B1,2002-06-25,https://patents.google.com/patent/US6409905B1/en?oq=US6409905,Patent
"P. Lessner, T. Su, b. Melody, J. Kinard, V. Rajasekaran, ",Process of preparing a solid electrolytic capacitor containing a conductive polymer counter electrode,US6391379B1,2002-05-21,https://patents.google.com/patent/US6391379B1/en?oq=US6391379,Patent
"J. Kinard, B. Melody, D. Wheeler, P. Lessner, ",Method and electrolyte for anodizing valve metals to high voltage,US6346185B1,2002-02-12,https://patents.google.com/patent/US6346185B1/en?oq=US6346185,Patent
"P. Lessner, R. Hahn, B. Melody, E. Reed, J. Kinard, ",Aging process for solid electrode capacitor,US6334945B1,2002-01-01,https://patents.google.com/patent/US6334945B1/en?oq=US6334945,Patent
"R. Hahn, P. Lessner, B. Melody, J. Kinard, ",Chemical oxidative preparation of conductive polymers,US6334966B1,2002-01-01,https://patents.google.com/patent/US6334966B1/en?oq=US6334966,Patent
"B. Melody, J. Kinard, P. Lessner, ",Differential anodization process for electrolytic capacitor anode bodies,US6261434B1,2001-07-17,https://patents.google.com/patent/US6261434B1/en?oq=US6261434,Patent
"R. Hahn, P. Lessner, V. Rajasekaran, ",Process for improving leakage and dissipation factor of solid electrolytic capacitors employing conductive polymer cathodes,US6191013B1,2001-02-20,https://patents.google.com/patent/US6191013B1/en?oq=US6191013,Patent
"B. Melody, J. Kinard, P. Lessner, ",Method and electrolyte for anodizing valve metals,US6149793,2000-11-21,https://patents.google.com/patent/US6149793A/en?oq=US6149793,Patent
"P. Lessner, T. Su, R. Hahn, V. Rajasekeran, ",Preparation of conductive polymers from stabilized precursor solutions,US6136372,2000-10-24,https://patents.google.com/patent/US6136372A/en?oq=US6136372,Patent
"D. Wheeler and P. Lessner, ",Capacitor with conductive polymer,US6136176,2000-10-24,https://patents.google.com/patent/US6136176A/en?oq=US6136176,Patent
"R. Hahn, P. Lessner, V. Rajasekaran, ",Electrolytic capacitor with improved leakage and dissipation factor,US6072694,2000-06-06,https://patents.google.com/patent/US6072694A/en?oq=US6072694,Patent
"P. Lessner, T. Su, R. Hahn, V. Rajasekeran, ",Preparation of conductive polymers from stabilized precursor solutions,US6056899,2000-05-02,https://patents.google.com/patent/US6056899A/en?oq=US6056899,Patent
"P. Lessner, T. Su, R. Hahn, V. Rajasekeran, ",Preparation of conductive polymers from stabilized precursor solutions,US6001281,1999-12-14,https://patents.google.com/patent/US6001281A/en?oq=US6001281,Patent
"J. Kinard, B. Melody, P.Lessner, ",Polyaniline solutions with bicyclic terpene solvent,US5948234,1999-09-07,https://patents.google.com/patent/US5948234A/en?oq=US5948234,Patent
"J. Kinard, B. Melody, P. Lessner, ",Electrolyte for anodizing valve metals,US5935408,1999-08-10,https://patents.google.com/patent/US5935408A/en?oq=US5935408,Patent
"B. Melody, J. Kinard, P. Lessner, ",Doped polyaniline solutions,US5919401,1999-07-06,https://patents.google.com/patent/US5919401A/en?oq=US5919401,Patent
"P. Lessner, J. Kinard, B. Melody, ",Conductive polymer using self-regenerating oxidant,US5916627,1999-06-29,https://patents.google.com/patent/US5916627A/en?oq=US5916627,Patent
"J. Kinard, B. Melody, P.Lessner, ",Polyaniline solutions with bicyclic terpene solvent,US5888582,1999-03-30,https://patents.google.com/patent/US5888582A/en?oq=US5888582,Patent
"B. Melody, J. Kinard, P. Lessner, ",Doped polyaniline solutions,US5885650,1999-03-23,https://patents.google.com/patent/US5885650A/en?oq=US5885650,Patent
"B. Melody, J. Kinard, P. Lessner, ",Doped polyaniline solutions,US5853794,1998-12-29,https://patents.google.com/patent/US5853794A/en?oq=US5853794,Patent
"J. Kinard, B. Melody, P. Lessner, ",Method for anodizing valve metals,US5837121,1998-11-17,https://patents.google.com/patent/US5837121A/en?oq=US5837121,Patent
